Player,Base Price,TYPE,COST IN ?? (CR.),Cost IN $ (000),2021 Squad,Team
Darren Bravo,75 Lakh,BATTER,,,,Unsold
Shamrah Brooks,50 Lakh,BATTER,,,,Unsold
Avishka Fernando,50 Lakh,BATTER,,,,Unsold
Zubayr Hamza,50 Lakh,BATTER,,,,Unsold
Pathum Nissaanka,50 Lakh,BATTER,,,,Unsold
Kurtis Patterson,50 Lakh,BATTER,,,,Unsold
Hashmatullah Shahidi,50 Lakh,BATTER,,,,Unsold
Manoj Tiwary,50 Lakh,BATTER,,,,Unsold
Ashton Agar,2 Cr,ALL-ROUNDER,,,,Unsold
Carlos Brath15000000e,75 Lakh,ALL-ROUNDER,,,,Unsold
Kedar Jadhav,1 Cr,ALL-ROUNDER,,,SRH,Unsold
Colin Munro,1.5 Cr,ALL-ROUNDER,,,,Unsold
Gulbadin Naib,50 Lakh,ALL-ROUNDER,,,,Unsold
Keemo Paul,75 Lakh,ALL-ROUNDER,,,,Unsold
Parvez Rasool,50 Lakh,ALL-ROUNDER,,,,Unsold
Dasun Shanaka,50 Lakh,ALL-ROUNDER,,,,Unsold
Wesley Agar,50 Lakh,BOWLER,,,,Unsold
Shoriful Islam,50 Lakh,BOWLER,,,,Unsold
Josh Little,50 Lakh,BOWLER,,,,Unsold
Blessing Muzarabani,50 Lakh,BOWLER,,,,Unsold
Jayden Seales,50 Lakh,BOWLER,,,,Unsold
Mohit Sharma,50 Lakh,BOWLER,,,,Unsold
Barinder Sran,50 Lakh,BOWLER,,,,Unsold
Billy Stanlake,75 Lakh,BOWLER,,,,Unsold
Neil Wagner,50 Lakh,BOWLER,,,,Unsold
Qamran Iqbal,20 Lakh,BATTER,,,,Unsold
Ishank Jaggi,20 Lakh,BATTER,,,,Unsold
Rohan Kunnummal,20 Lakh,BATTER,,,,Unsold
Tanmay Mishra,20 Lakh,BATTER,,,,Unsold
Yash Nahar,20 Lakh,BATTER,,,,Unsold
Shubham Singh Rohilla,20 Lakh,BATTER,,,,Unsold
Alex Ross,20 Lakh,BATTER,,,,Unsold
Naushad Shaikh,20 Lakh,BATTER,,,,Unsold
Baba Aparajith,20 Lakh,ALL-ROUNDER,,,,Unsold
Prayas Barman,20 Lakh,ALL-ROUNDER,,,,Unsold
Yudhvir Charak,20 Lakh,ALL-ROUNDER,,,MI,Unsold
Shubhang Hegde,20 Lakh,ALL-ROUNDER,,,,Unsold
Roosh Kalaria,20 Lakh,ALL-ROUNDER,,,,Unsold
Tanush Kotian,20 Lakh,ALL-ROUNDER,,,,Unsold
Kaushal Tambe,20 Lakh,ALL-ROUNDER,,,,Unsold
Shivank Vashisth,20 Lakh,ALL-ROUNDER,,,,Unsold
Rahul Chandrol,20 Lakh,WICKETKEEPER,,,,Unsold
Harvik Desai,20 Lakh,WICKETKEEPER,,,,Unsold
Cam Fletcher,20 Lakh,WICKETKEEPER,,,,Unsold
Tarang Gohel,20 Lakh,WICKETKEEPER,,,,Unsold
Fazil Makaya,20 Lakh,WICKETKEEPER,,,,Unsold
Ryan Rickelton,20 Lakh,WICKETKEEPER,,,,Unsold
Sandeep Kumar Tomar,20 Lakh,WICKETKEEPER,,,,Unsold
Siddhesh Wath,20 Lakh,WICKETKEEPER,,,,Unsold
Stephen Cheepurupalli,20 Lakh,BOWLER,,,,Unsold
Aniket Choudhary,20 Lakh,BOWLER,,,,Unsold
Kartikeya Kak,20 Lakh,BOWLER,,,,Unsold
Ali Khan,40 Lakh,BOWLER,,,,Unsold
Kulwant Khejroliya,20 Lakh,BOWLER,,,DC,Unsold
Ronit More,20 Lakh,BOWLER,,,,Unsold
M Nidheesh,20 Lakh,BOWLER,,,,Unsold
Babasafi Pathan,20 Lakh,BOWLER,,,,Unsold
Vidyadhar Patil,20 Lakh,BOWLER,,,,Unsold
Mukesh Kumar Singh,20 Lakh,BOWLER,,,,Unsold
R. Alexandar,20 Lakh,BOWLER,,,,Unsold
Adithya Ashok,20 Lakh,BOWLER,,,,Unsold
Jasmer Dhankhar,20 Lakh,BOWLER,,,,Unsold
Prerit Dutta,20 Lakh,BOWLER,,,,Unsold
Jon Russ Jaggesar,20 Lakh,BOWLER,,,,Unsold
S. Kishan Kumar,20 Lakh,BOWLER,,,,Unsold
Kevin Koththigoda,20 Lakh,BOWLER,,,,Unsold
Swaraj Wabale,20 Lakh,BOWLER,,,,Unsold
Curtis Campher,50 Lakh,ALL-ROUNDER,,,,Unsold
Colin De Grandhomme,1 Cr,ALL-ROUNDER,,,,Unsold
James Faulkner,1 Cr,ALL-ROUNDER,,,,Unsold
Craig Overton,2 Cr,ALL-ROUNDER,,,,Unsold
Wayne Parnell,50 Lakh,ALL-ROUNDER,,,,Unsold
Samit Patel,50 Lakh,ALL-ROUNDER,,,,Unsold
Thisara Perera,50 Lakh,ALL-ROUNDER,,,,Unsold
Darcy Short,1 Cr,ALL-ROUNDER,,,,Unsold
Murali Vijay,50 Lakh,ALL-ROUNDER,,,,Unsold
Jack Wildermuth,50 Lakh,ALL-ROUNDER,,,,Unsold
Hamish Bennett,50 Lakh,BOWLER,,,,Unsold
Daryn Dupavillon,50 Lakh,BOWLER,,,,Unsold
Fidel Edwards,50 Lakh,BOWLER,,,,Unsold
Hamid Hassan,50 Lakh,BOWLER,,,,Unsold
Lahiru Kumara,50 Lakh,BOWLER,,,,Unsold
Joel Paris,50 Lakh,BOWLER,,,,Unsold
S. Sreesanth,50 Lakh,BOWLER,,,,Unsold
Oshane Thomas,50 Lakh,BOWLER,,,,Unsold
Blair Tickner,50 Lakh,BOWLER,,,,Unsold
Isuru Udana,50 Lakh,BOWLER,,,,Unsold
Donavon Ferreira,20 Lakh,BATTER,,,,Unsold
Bhupen Lalwani,20 Lakh,BATTER,,,,Unsold
Henan Malik,20 Lakh,BATTER,,,,Unsold
Pukhraj Mann,20 Lakh,BATTER,,,,Unsold
Shashwat Rawat,20 Lakh,BATTER,,,,Unsold
Jake Weatherald,20 Lakh,BATTER,,,,Unsold
Gerald Coetzee,20 Lakh,ALL-ROUNDER,,,,Unsold
Akshay Karnewar,20 Lakh,ALL-ROUNDER,,,,Unsold
Sumit Kumar,20 Lakh,ALL-ROUNDER,,,,Unsold
Abid Mushtaq,20 Lakh,ALL-ROUNDER,,,,Unsold
Lone Muzaffar,20 Lakh,ALL-ROUNDER,,,,Unsold
Ninad Rathva,20 Lakh,ALL-ROUNDER,,,,Unsold
Shoun Roger,20 Lakh,ALL-ROUNDER,,,,Unsold
Jaideep Bhambhu,20 Lakh,BOWLER,,,,Unsold
Nandre Burger,20 Lakh,BOWLER,,,,Unsold
Matt Kelly,30 Lakh,BOWLER,,,,Unsold
V Koushik,20 Lakh,BOWLER,,,,Unsold
Akash Madhwal,20 Lakh,BOWLER,,,,Unsold
Amit Mishra,20 Lakh,BOWLER,,,,Unsold
Anuj Raj,20 Lakh,BOWLER,,,,Unsold
Abhijeet Saket,20 Lakh,BOWLER,,,,Unsold
Rahul Shukla,20 Lakh,BOWLER,,,,Unsold
Nuwan Thushara,20 Lakh,BOWLER,,,,Unsold
Mark Adnair,50 Lakh,ALL-ROUNDER,,,,Unsold
Hilton Cartwright,50 Lakh,ALL-ROUNDER,,,,Unsold
Gareth Delany,50 Lakh,ALL-ROUNDER,,,,Unsold
Danushka Gunatilaka,50 Lakh,ALL-ROUNDER,,,,Unsold
Anaru Kitchen,50 Lakh,ALL-ROUNDER,,,,Unsold
Dhananjaya Lakshan,50 Lakh,ALL-ROUNDER,,,,Unsold
Sisanda Magala,50 Lakh,ALL-ROUNDER,,,,Unsold
Andile Phehlukwayo,50 Lakh,ALL-ROUNDER,,,,Unsold
Seekkuge Prasanna,50 Lakh,ALL-ROUNDER,,,,Unsold
Raymon Reifer,50 Lakh,ALL-ROUNDER,,,,Unsold
Amit Ali,20 Lakh,ALL-ROUNDER,,,,Unsold
Chaitanya Bishnoi,20 Lakh,ALL-ROUNDER,,,,Unsold
Mayank Dagar,20 Lakh,ALL-ROUNDER,,,,Unsold
Migael Pretorius,20 Lakh,ALL-ROUNDER,,,,Unsold
Shivam Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
Pratyush Singh,20 Lakh,ALL-ROUNDER,,,,Unsold
Sanvir Singh,20 Lakh,ALL-ROUNDER,,,,Unsold
Dhrushant Soni,20 Lakh,ALL-ROUNDER,,,,Unsold
M Venkatesh,20 Lakh,ALL-ROUNDER,,,,Unsold
Bandaru Ayyappa,20 Lakh,BOWLER,,,,Unsold
Gurnoor Singh Brar,20 Lakh,BOWLER,,,,Unsold
Akash Choudhary,20 Lakh,BOWLER,,,,Unsold
Mohit Jangra,20 Lakh,BOWLER,,,,Unsold
Aaqib Khan,20 Lakh,BOWLER,,,,Unsold
Ruben Trumpelmann,20 Lakh,BOWLER,,,,Unsold
Brad Wheal,50 Lakh,BOWLER,,,,Unsold
Lalit Yadav,20 Lakh,BOWLER,,,,Unsold
Auqib Dar,20 Lakh,ALL-ROUNDER,,,,Unsold
Chirag Gandhi,20 Lakh,ALL-ROUNDER,,,,Unsold
Chris Green,40 Lakh,ALL-ROUNDER,,,,Unsold
Sijomon Joseph,20 Lakh,ALL-ROUNDER,,,,Unsold
Anirudha Joshi,20 Lakh,ALL-ROUNDER,,,DC,Unsold
Shubham Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
Shubham Singh,20 Lakh,ALL-ROUNDER,,,,Unsold
Arpit Guleria,20 Lakh,BOWLER,,,,Unsold
Vipul Krishna,20 Lakh,BOWLER,,,,Unsold
Safvan Patel,20 Lakh,BOWLER,,,,Unsold
Chinntla Readdi,20 Lakh,BOWLER,,,,Unsold
Manish Reddy,20 Lakh,BOWLER,,,,Unsold
Ravi Sharma,20 Lakh,BOWLER,,,,Unsold
Shubham Singh,20 Lakh,BOWLER,,,,Unsold
Corbin Bosch,20 Lakh,ALL-ROUNDER,,,,Unsold
Nathan McAndrew,20 Lakh,ALL-ROUNDER,,,,Unsold
Diwesh Pathania,20 Lakh,ALL-ROUNDER,,,,Unsold
Shubham Ranjane,20 Lakh,ALL-ROUNDER,,,,Unsold
Tom Rogers,20 Lakh,ALL-ROUNDER,,,,Unsold
Johannes Smit,20 Lakh,ALL-ROUNDER,,,,Unsold
Sagar Trivedi,20 Lakh,ALL-ROUNDER,,,,Unsold
Harsh Tyagi,20 Lakh,ALL-ROUNDER,,,,Unsold
R. Vivek,20 Lakh,ALL-ROUNDER,,,,Unsold
R.Sonu Yadav,20 Lakh,ALL-ROUNDER,,,,Unsold
V. Athisayaraj,20 Lakh,BOWLER,,,,Unsold
Ottneil Baartman,20 Lakh,BOWLER,,,,Unsold
M.B. Darshan,20 Lakh,BOWLER,,,,Unsold
V. Gowtham,20 Lakh,BOWLER,,,,Unsold
Khwezi Gumede,20 Lakh,BOWLER,,,,Unsold
Liam Guthrie,20 Lakh,BOWLER,,,,Unsold
Liam Hatcher,20 Lakh,BOWLER,,,,Unsold
Jay Bista,20 Lakh,ALL-ROUNDER,,,,Unsold
Saurav Chuahan,20 Lakh,ALL-ROUNDER,,,,Unsold
Tajinder Dhillon,20 Lakh,ALL-ROUNDER,,,,Unsold
Dikshanshu Negi,20 Lakh,ALL-ROUNDER,,,,Unsold
Abhishek Raut,20 Lakh,ALL-ROUNDER,,,,Unsold
K.V. Sasikanth,20 Lakh,ALL-ROUNDER,,,,Unsold
Bharat Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
Shivam Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
Amit Yadav,20 Lakh,ALL-ROUNDER,,,,Unsold
Manoj Bhandage,20 Lakh,ALL-ROUNDER,,,,Unsold
Arun Chaprana,20 Lakh,ALL-ROUNDER,,,,Unsold
Ajay Dev Goud,20 Lakh,ALL-ROUNDER,,,,Unsold
Divyang Hinganekar,20 Lakh,ALL-ROUNDER,,,,Unsold
Azim Kazi,20 Lakh,ALL-ROUNDER,,,,Unsold
Sujit Nayak,20 Lakh,ALL-ROUNDER,,,,Unsold
Parth Sahani,20 Lakh,ALL-ROUNDER,,,,Unsold
Ashutosh Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
Vivrant Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
Kumar Kartikeya Singh,20 Lakh,ALL-ROUNDER,,,,Unsold
Ravi Chauhan,20 Lakh,ALL-ROUNDER,,,,Unsold
Shafiqullah Ghafari,20 Lakh,ALL-ROUNDER,,,,Unsold
M. Mohammed,20 Lakh,ALL-ROUNDER,,,,Unsold
Pulkit Narang,20 Lakh,ALL-ROUNDER,,,,Unsold
Pradosh Paul,20 Lakh,ALL-ROUNDER,,,,Unsold
Pushpendra Singh Rathore,20 Lakh,ALL-ROUNDER,,,,Unsold
Jason Sangha,20 Lakh,ALL-ROUNDER,,,,Unsold
Purnank Tyagi,20 Lakh,ALL-ROUNDER,,,,Unsold
Samarth Vyas,20 Lakh,ALL-ROUNDER,,,,Unsold
Duan Jansen,20 Lakh,ALL-ROUNDER,,,,Unsold
Dev Lakra,20 Lakh,ALL-ROUNDER,,,,Unsold
Ajay Mandal,20 Lakh,ALL-ROUNDER,,,,Unsold
Lakhan Raja,20 Lakh,ALL-ROUNDER,,,,Unsold
Girinath Reddy,20 Lakh,ALL-ROUNDER,,,,Unsold
Siddhant Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
Matthew Short,20 Lakh,ALL-ROUNDER,,,,Unsold
Saurin Thakar,20 Lakh,ALL-ROUNDER,,,,Unsold
Nyeem Young,20 Lakh,ALL-ROUNDER,,,,Unsold
Yuvraj Chaudhary,20 Lakh,ALL-ROUNDER,,,,Unsold
Khizar Dafedar,20 Lakh,ALL-ROUNDER,,,,Unsold
Sahil Dhiwan,20 Lakh,ALL-ROUNDER,,,,Unsold
Arjit Gupta,20 Lakh,ALL-ROUNDER,,,,Unsold
Mickil Jaiswal,20 Lakh,ALL-ROUNDER,,,,Unsold
Ryan John,20 Lakh,ALL-ROUNDER,,,,Unsold
J. Kousik,20 Lakh,ALL-ROUNDER,,,,Unsold
Jitender Pal,20 Lakh,ALL-ROUNDER,,,,Unsold
Jonty Sidhu,20 Lakh,ALL-ROUNDER,,,,Unsold
Yashovardhan Singh,20 Lakh,ALL-ROUNDER,,,,Unsold
Beyers Swanepoel,20 Lakh,ALL-ROUNDER,,,,Unsold
Pranshu Vijayran,20 Lakh,ALL-ROUNDER,,,,Unsold
Ishan Afridi,20 Lakh,ALL-ROUNDER,,,,Unsold
Mohammed Afridi,20 Lakh,ALL-ROUNDER,,,,Unsold
Prerit Agrawal,20 Lakh,ALL-ROUNDER,,,,Unsold
Aidan Cahill,20 Lakh,ALL-ROUNDER,,,,Unsold
Mark Deyal,20 Lakh,ALL-ROUNDER,,,,Unsold
Nidhish Rajagopal,20 Lakh,ALL-ROUNDER,,,,Unsold
Bavanaka Sandeep,20 Lakh,ALL-ROUNDER,,,,Unsold
Safyaan Sharif,20 Lakh,ALL-ROUNDER,,,,Unsold
Henry Shipley,20 Lakh,ALL-ROUNDER,,,,Unsold
Maxwell Swaminathan,20 Lakh,ALL-ROUNDER,,,,Unsold
Johan Van Dyk,20 Lakh,ALL-ROUNDER,,,,Unsold
Dunith Wellalage,20 Lakh,ALL-ROUNDER,,,,Unsold
Agnivesh Ayachi,20 Lakh,ALL-ROUNDER,,,PBKS,Unsold
Rohan Rana,20 Lakh,ALL-ROUNDER,,,,Unsold
Nitish Reddy,20 Lakh,ALL-ROUNDER,,,,Unsold
Hardik Tamore,20 Lakh,WICKETKEEPER,,,,Unsold
Mihir Hirwani,20 Lakh,BOWLER,,,,Unsold
Sairaj Patil,20 Lakh,BATTER,,,,Unsold
Monu Singh,20 Lakh,BOWLER,,,,Unsold
Nivethan Radhakrishnan,20 Lakh,BOWLER,,,,Unsold
Lance Morris,20 Lakh,BOWLER,,,,Unsold
Aaron Hardie,20 Lakh,ALL-ROUNDER,,,,Unsold
